taxid,name_old,name_new
1401814,Mycobacterium tuberculosis DCTB0002,Mycobacterium tuberculosis DCTB0002
1401815,Mycobacterium tuberculosis DCTB0003,Mycobacterium tuberculosis DCTB0003
1402164,Mycobacterium tuberculosis DCTB0004,Mycobacterium tuberculosis DCTB0004
1402165,Mycobacterium tuberculosis DCTB0005,Mycobacterium tuberculosis DCTB0005
1402166,Mycobacterium tuberculosis DCTB0006,Mycobacterium tuberculosis DCTB0006
1402167,Mycobacterium tuberculosis DCTB0008,Mycobacterium tuberculosis DCTB0008
1402168,Mycobacterium tuberculosis DCTB0009,Mycobacterium tuberculosis DCTB0009
1402169,Mycobacterium tuberculosis DCTB0010,Mycobacterium tuberculosis DCTB0010
1402170,Mycobacterium tuberculosis DCTB0011,Mycobacterium tuberculosis DCTB0011
1402171,Mycobacterium tuberculosis DCTB0012,Mycobacterium tuberculosis DCTB0012
1402172,Mycobacterium tuberculosis DCTB0013,Mycobacterium tuberculosis DCTB0013
1402173,Mycobacterium tuberculosis DCTB0014,Mycobacterium tuberculosis DCTB0014
1402174,Mycobacterium tuberculosis DCTB0015,Mycobacterium tuberculosis DCTB0015
1402175,Mycobacterium tuberculosis DCTB0016,Mycobacterium tuberculosis DCTB0016
1402176,Mycobacterium tuberculosis DCTB0017,Mycobacterium tuberculosis DCTB0017
1402177,Mycobacterium tuberculosis DCTB0018,Mycobacterium tuberculosis DCTB0018
1402178,Mycobacterium tuberculosis DCTB0019,Mycobacterium tuberculosis DCTB0019
1402179,Mycobacterium tuberculosis DCTB0020,Mycobacterium tuberculosis DCTB0020
1402180,Mycobacterium tuberculosis DCTB0021,Mycobacterium tuberculosis DCTB0021
1402181,Mycobacterium tuberculosis DCTB0022,Mycobacterium tuberculosis DCTB0022
1402182,Mycobacterium tuberculosis DCTB0023,Mycobacterium tuberculosis DCTB0023
1402183,Mycobacterium tuberculosis DCTB0024,Mycobacterium tuberculosis DCTB0024
1402184,Mycobacterium tuberculosis DCTB0025,Mycobacterium tuberculosis DCTB0025
1402185,Mycobacterium tuberculosis DCTB0027,Mycobacterium tuberculosis DCTB0027
1402186,Mycobacterium tuberculosis DCTB0028,Mycobacterium tuberculosis DCTB0028
1402187,Mycobacterium tuberculosis DCTB0029,Mycobacterium tuberculosis DCTB0029
1402188,Mycobacterium tuberculosis DCTB0030,Mycobacterium tuberculosis DCTB0030
1402189,Mycobacterium tuberculosis DCTB0031,Mycobacterium tuberculosis DCTB0031
1402190,Mycobacterium tuberculosis DCTB0032,Mycobacterium tuberculosis DCTB0032
1402213,Mycobacterium avium subsp. hominissuis MAH 27-1,Mycobacterium avium subsp. hominissuis MAH 27-1
1402214,Mycobacterium avium subsp. hominissuis MAH 2721,Mycobacterium avium subsp. hominissuis MAH 2721
1402473,Mycobacterium tuberculosis SK-E,Mycobacterium tuberculosis SK-E
1402474,Mycobacterium tuberculosis SK-A,Mycobacterium tuberculosis SK-A
1402475,Mycobacterium tuberculosis SK-C,Mycobacterium tuberculosis SK-C
1402476,Mycobacterium tuberculosis UG-F,Mycobacterium tuberculosis UG-F
1402477,Mycobacterium tuberculosis UG-A,Mycobacterium tuberculosis UG-A
1402478,Mycobacterium tuberculosis SK-B,Mycobacterium tuberculosis SK-B
1402479,Mycobacterium tuberculosis SK-D,Mycobacterium tuberculosis SK-D
1402480,Mycobacterium tuberculosis UG-C,Mycobacterium tuberculosis UG-C
1402481,Mycobacterium tuberculosis SK-F,Mycobacterium tuberculosis SK-F
1402482,Mycobacterium tuberculosis UG-B,Mycobacterium tuberculosis UG-B
1402483,Mycobacterium tuberculosis UG-D,Mycobacterium tuberculosis UG-D
1402484,Mycobacterium tuberculosis UG-E,Mycobacterium tuberculosis UG-E
1402583,Mycobacterium tuberculosis OFXR-1,Mycobacterium tuberculosis OFXR-1
1402584,Mycobacterium tuberculosis OFXR-6,Mycobacterium tuberculosis OFXR-6
1402585,Mycobacterium tuberculosis OFXR-8,Mycobacterium tuberculosis OFXR-8
1402586,Mycobacterium tuberculosis OFXR-9,Mycobacterium tuberculosis OFXR-9
1402587,Mycobacterium tuberculosis OFXR-17,Mycobacterium tuberculosis OFXR-17
1402588,Mycobacterium tuberculosis OFXR-18,Mycobacterium tuberculosis OFXR-18
1402589,Mycobacterium tuberculosis OFXR-19,Mycobacterium tuberculosis OFXR-19
1402590,Mycobacterium tuberculosis OFXR-20,Mycobacterium tuberculosis OFXR-20
1402591,Mycobacterium tuberculosis OFXR-21,Mycobacterium tuberculosis OFXR-21
1402592,Mycobacterium tuberculosis OFXR-22,Mycobacterium tuberculosis OFXR-22
1402593,Mycobacterium tuberculosis OFXR-23,Mycobacterium tuberculosis OFXR-23
1402594,Mycobacterium tuberculosis OFXR-24,Mycobacterium tuberculosis OFXR-24
1402595,Mycobacterium tuberculosis OFXR-25,Mycobacterium tuberculosis OFXR-25
1402596,Mycobacterium tuberculosis OFXR-26,Mycobacterium tuberculosis OFXR-26
1402597,Mycobacterium tuberculosis OFXR-27,Mycobacterium tuberculosis OFXR-27
1402598,Mycobacterium tuberculosis OFXR-29,Mycobacterium tuberculosis OFXR-29
1402599,Mycobacterium tuberculosis OFXR-30,Mycobacterium tuberculosis OFXR-30
1402600,Mycobacterium tuberculosis OFXR-31,Mycobacterium tuberculosis OFXR-31
1402601,Mycobacterium tuberculosis OFXR-32,Mycobacterium tuberculosis OFXR-32
1402602,Mycobacterium tuberculosis OFXR-33,Mycobacterium tuberculosis OFXR-33
1402966,Mycobacterium avium subsp. hominissuis 100,Mycobacterium avium subsp. hominissuis 100
1402967,Mycobacterium avium subsp. hominissuis 101,Mycobacterium avium subsp. hominissuis 101
1403022,Mycobacterium tuberculosis MD5896,Mycobacterium tuberculosis MD5896
1403023,Mycobacterium tuberculosis MD5935,Mycobacterium tuberculosis MD5935
1403024,Mycobacterium tuberculosis MD6251,Mycobacterium tuberculosis MD6251
1403025,Mycobacterium tuberculosis MD4909,Mycobacterium tuberculosis MD4909
1403026,Mycobacterium tuberculosis MD6026,Mycobacterium tuberculosis MD6026
1404322,Mycobacterium tuberculosis IAR2,Mycobacterium tuberculosis IAR2
1408452,Mycobacterium genavense ATCC 51234,Mycobacterium genavense ATCC 51234
1408904,Mycobacterium tuberculosis UT0001,Mycobacterium tuberculosis UT0001
1408905,Mycobacterium tuberculosis UT0002,Mycobacterium tuberculosis UT0002
1408906,Mycobacterium tuberculosis UT0003,Mycobacterium tuberculosis UT0003
1408907,Mycobacterium tuberculosis UT0004,Mycobacterium tuberculosis UT0004
1408908,Mycobacterium tuberculosis UT0007,Mycobacterium tuberculosis UT0007
1408909,Mycobacterium tuberculosis UT0009,Mycobacterium tuberculosis UT0009
1408910,Mycobacterium tuberculosis UT0011,Mycobacterium tuberculosis UT0011
1408911,Mycobacterium tuberculosis UT0015,Mycobacterium tuberculosis UT0015
1408912,Mycobacterium tuberculosis UT0016,Mycobacterium tuberculosis UT0016
1408913,Mycobacterium tuberculosis UT0020,Mycobacterium tuberculosis UT0020
1408914,Mycobacterium tuberculosis UT0022,Mycobacterium tuberculosis UT0022
1408915,Mycobacterium tuberculosis UT0024,Mycobacterium tuberculosis UT0024
1408916,Mycobacterium tuberculosis UT0026,Mycobacterium tuberculosis UT0026
1408917,Mycobacterium tuberculosis UT0027,Mycobacterium tuberculosis UT0027
1408918,Mycobacterium tuberculosis UT0030,Mycobacterium tuberculosis UT0030
1408919,Mycobacterium tuberculosis UT0034,Mycobacterium tuberculosis UT0034
1408920,Mycobacterium tuberculosis UT0036,Mycobacterium tuberculosis UT0036
1408921,Mycobacterium tuberculosis UT0037,Mycobacterium tuberculosis UT0037
1408922,Mycobacterium tuberculosis UT0038,Mycobacterium tuberculosis UT0038
1408923,Mycobacterium tuberculosis UT0040,Mycobacterium tuberculosis UT0040
1408924,Mycobacterium tuberculosis UT0041,Mycobacterium tuberculosis UT0041
1408925,Mycobacterium tuberculosis UT0044,Mycobacterium tuberculosis UT0044
1408926,Mycobacterium tuberculosis UT0045,Mycobacterium tuberculosis UT0045
1408927,Mycobacterium tuberculosis UT0046,Mycobacterium tuberculosis UT0046
1408928,Mycobacterium tuberculosis UT0048,Mycobacterium tuberculosis UT0048
1408929,Mycobacterium tuberculosis UT0050,Mycobacterium tuberculosis UT0050
1408930,Mycobacterium tuberculosis UT0051,Mycobacterium tuberculosis UT0051
1408931,Mycobacterium tuberculosis UT0052,Mycobacterium tuberculosis UT0052
1408932,Mycobacterium tuberculosis UT0053,Mycobacterium tuberculosis UT0053
1408933,Mycobacterium tuberculosis UT0055,Mycobacterium tuberculosis UT0055
1408934,Mycobacterium tuberculosis UT0056,Mycobacterium tuberculosis UT0056
1408935,Mycobacterium tuberculosis UT0057,Mycobacterium tuberculosis UT0057
1408936,Mycobacterium tuberculosis UT0058,Mycobacterium tuberculosis UT0058
1408937,Mycobacterium tuberculosis UT0059,Mycobacterium tuberculosis UT0059
1408938,Mycobacterium tuberculosis UT0060,Mycobacterium tuberculosis UT0060
1408939,Mycobacterium tuberculosis UT0067,Mycobacterium tuberculosis UT0067
1408940,Mycobacterium tuberculosis UT0069,Mycobacterium tuberculosis UT0069
1408941,Mycobacterium tuberculosis UT0070,Mycobacterium tuberculosis UT0070
1408942,Mycobacterium tuberculosis UT0071,Mycobacterium tuberculosis UT0071
1408943,Mycobacterium tuberculosis UT0075,Mycobacterium tuberculosis UT0075
1408944,Mycobacterium tuberculosis UT0077,Mycobacterium tuberculosis UT0077
1408945,Mycobacterium tuberculosis UT0079,Mycobacterium tuberculosis UT0079
1408946,Mycobacterium tuberculosis UT0080,Mycobacterium tuberculosis UT0080
1408947,Mycobacterium tuberculosis UT0082,Mycobacterium tuberculosis UT0082
1408948,Mycobacterium tuberculosis UT0083,Mycobacterium tuberculosis UT0083
1408949,Mycobacterium tuberculosis UT0084,Mycobacterium tuberculosis UT0084
1408950,Mycobacterium tuberculosis UT0085,Mycobacterium tuberculosis UT0085
1408951,Mycobacterium tuberculosis UT0087,Mycobacterium tuberculosis UT0087
1408952,Mycobacterium tuberculosis UT0088,Mycobacterium tuberculosis UT0088
1408953,Mycobacterium tuberculosis UT0089,Mycobacterium tuberculosis UT0089
1408954,Mycobacterium tuberculosis UT0090,Mycobacterium tuberculosis UT0090
1408955,Mycobacterium tuberculosis UT0091,Mycobacterium tuberculosis UT0091
1408956,Mycobacterium tuberculosis UT0092,Mycobacterium tuberculosis UT0092
1408957,Mycobacterium tuberculosis UT0093,Mycobacterium tuberculosis UT0093
1408958,Mycobacterium tuberculosis UT0094,Mycobacterium tuberculosis UT0094
1408959,Mycobacterium tuberculosis UT0096,Mycobacterium tuberculosis UT0096
1408960,Mycobacterium tuberculosis UT0097,Mycobacterium tuberculosis UT0097
1408961,Mycobacterium tuberculosis UT0099,Mycobacterium tuberculosis UT0099
1408962,Mycobacterium tuberculosis UT0100,Mycobacterium tuberculosis UT0100
1408963,Mycobacterium tuberculosis UT0104,Mycobacterium tuberculosis UT0104
1408964,Mycobacterium tuberculosis UT0105,Mycobacterium tuberculosis UT0105
1408965,Mycobacterium tuberculosis UT0106,Mycobacterium tuberculosis UT0106
1408966,Mycobacterium tuberculosis UT0109,Mycobacterium tuberculosis UT0109
